Message ID,Message Name,Sender,Signal Name,Start Bit,Size (bits),Factor,Offset,Min,Max,Unit,Cycle Time (ms),Data Type
0x2A1,PDM_Current,PDM,Gen_Amps,0,16,0.01,0,0.25,15.5,A,500,float
,PDM_Current,PDM,Front_Fan_Amps,16,8,0.01,0,0.25,15.5,A,500,float
,PDM_Current,PDM,Rear_Fan_Amps,24,8,0.01,0,0.25,15.5,A,500,float
,PDM_Current,PDM,Front_Pump_Amps,32,8,0.01,0,0.25,15.5,A,500,float
,PDM_Current,PDM,Rear_Pump_Amps,40,8,0.01,0,0.25,15.5,A,500,float
0x2A2,PDM_Bat_Volt,PDM,Bat_Volt,0,16,0.01,0,0,16,V,5000,float
,PDM_Bat_Volt,PDM,Low_Bat_Volt_Warning,16,8,1,0,0,1,Bool,5000,bool
,PDM_Bat_Volt,PDM,Danger_Bat_Volt_Warning,24,8,1,0,0,1,Bool,5000,bool
0x2A3,PDM_Coolant,PDM,Coolant_1_Volt,0,16,0.01,0,0,3.3,V,500,float
,PDM_Coolant,PDM,Coolant_2_Volt,16,16,0.01,0,0,3.3,V,500,float
,PDM_Coolant,PDM,Coolant_3_Volt,32,16,0.01,0,0,3.3,V,500,float
0x28B,Front_Right_Inverter_Motor_Status,Front-Right-Inverter,RPM,0,16,1,0,,,RPM,100,int16_t
,Front_Right_Inverter_Motor_Status,Front-Right-Inverter,Motor_Current,16,16,0.1,0,,,A,100,int16_t
,Front_Right_Inverter_Motor_Status,Front-Right-Inverter,DC_Voltage,32,16,0.1,0,,,V,100,int16_t
,Front_Right_Inverter_Motor_Status,Front-Right-Inverter,DC_Current,48,16,0.1,0,,,A,100,int16_t
0x28C,Front_Right_Inverter_Temp_Status,Front-Right-Inverter,IGBT_Temp,0,16,0.1,0,,,deg C,1000,int16_t
,Front_Right_Inverter_Temp_Status,Front-Right-Inverter,Motor_Temp,16,16,0.1,0,,,deg C,1000,int16_t
0x28D,Front_Right_Inverter_Current_Draw,Front-Right-Inverter,Ah_Drawn,0,16,0.0001,0,,,Ah,100,uint32_t
,Front_Right_Inverter_Current_Draw,Front-Right-Inverter,Ah_Charged,32,32,0.0001,0,,,Ah,100,uint32_t
0x28E,Front_Right_Inverter_Power_Draw,Front-Right-Inverter,Wh_Drawn,0,32,0.001,0,,,Wh,100,uint32_t
,Front_Right_Inverter_Power_Draw,Front-Right-Inverter,Wh_Charged,32,32,0.001,0,,,Wh,100,uint32_t
0x28A,Front_Right_Inverter_Fault_Status,Front-Right-Inverter,Fault_Code,0,8,1,0,,,"0x00: NONE
0x01: OVER_VOLTAGE
0x02: UNDER_VOLTAGE
0x03: DRV_FAULT
0x04: ABS_OVER_CURRENT
0x05: OVER_TEMP_FET
0x06: OVER_TEMP_MOTOR
0x07: GATE_DRIVER_OVER_VOLTAGE
0x08: GATE_DRIVER_UNDER_VOLTAGE
0x09: MCU_UNDER_VOLTAGE
0x0A: BOOTING_FROM_WATCHDOG_RESET
0x0B: ENCODER_SPI_FAULT
0x0C: ENCODER_SINCOS_BELOW_MIN_AMPLITUDE
0x0D: ENCODER_SINCOS_ABOVE_MAX_AMPLITUDE
0x0E: FLASH_CORRUPTION
0x0F: HIGH_OFFSET_CURRENT_SENSOR_1
0x10: HIGH_OFFSET_CURRENT_SENSOR_2
0x11: HIGH_OFFSET_CURRENT_SENSOR_3
0x12: UNBALANCED_CURRENTS
0x13: BRK_FAULT
0x14: RESOLVER_LOT
0x15: RESOLVER_DOS
0x16: RESOLVER_LOS
0x17: FLASH_CORRUPTION_APP_CFG
0x18: FLASH_CORRUPTION_MC_CFG
0x19: ENCODER_NO_MAGNET
0x1A: ENCODER_MAGNET_TOO_STRONG
0x1B: PHASE_FILTER_FAULT",,uint8_t
0x286,Front_Left_Inverter_Motor_Status,Front-Left-Inverter,RPM,0,16,1,0,,,RPM,100,int16_t
,Front_Left_Inverter_Motor_Status,Front-Left-Inverter,Motor_Current,16,16,0.1,0,,,A,100,int16_t
,Front_Left_Inverter_Motor_Status,Front-Left-Inverter,DC_Voltage,32,16,0.1,0,,,V,100,int16_t
,Front_Left_Inverter_Motor_Status,Front-Left-Inverter,DC_Current,48,16,0.1,0,,,A,100,int16_t
0x287,Front_Left_Inverter_Temp_Status,Front-Left-Inverter,IGBT_Temp,0,16,0.1,0,,,deg C,1000,int16_t
,Front_Left_Inverter_Temp_Status,Front-Left-Inverter,Motor_Temp,16,16,0.1,0,,,deg C,1000,int16_t
0x288,Front_Left_Inverter_Current_Draw,Front-Left-Inverter,Ah_Drawn,0,16,0.0001,0,,,Ah,100,uint32_t
,Front_Left_Inverter_Current_Draw,Front-Left-Inverter,Ah_Charged,32,32,0.0001,0,,,Ah,100,uint32_t
0x289,Front_Left_Inverter_Power_Draw,Front-Left-Inverter,Wh_Drawn,0,32,0.001,0,,,Wh,100,uint32_t
,Front_Left_Inverter_Power_Draw,Front-Left-Inverter,Wh_Charged,32,32,0.001,0,,,Wh,100,uint32_t
0x285,Front_Left_Inverter_Fault_Status,Front-Left-Inverter,Fault_Code,0,8,1,0,,,"0x00: NONE
0x01: OVER_VOLTAGE
0x02: UNDER_VOLTAGE
0x03: DRV_FAULT
0x04: ABS_OVER_CURRENT
0x05: OVER_TEMP_FET
0x06: OVER_TEMP_MOTOR
0x07: GATE_DRIVER_OVER_VOLTAGE
0x08: GATE_DRIVER_UNDER_VOLTAGE
0x09: MCU_UNDER_VOLTAGE
0x0A: BOOTING_FROM_WATCHDOG_RESET
0x0B: ENCODER_SPI_FAULT
0x0C: ENCODER_SINCOS_BELOW_MIN_AMPLITUDE
0x0D: ENCODER_SINCOS_ABOVE_MAX_AMPLITUDE
0x0E: FLASH_CORRUPTION
0x0F: HIGH_OFFSET_CURRENT_SENSOR_1
0x10: HIGH_OFFSET_CURRENT_SENSOR_2
0x11: HIGH_OFFSET_CURRENT_SENSOR_3
0x12: UNBALANCED_CURRENTS
0x13: BRK_FAULT
0x14: RESOLVER_LOT
0x15: RESOLVER_DOS
0x16: RESOLVER_LOS
0x17: FLASH_CORRUPTION_APP_CFG
0x18: FLASH_CORRUPTION_MC_CFG
0x19: ENCODER_NO_MAGNET
0x1A: ENCODER_MAGNET_TOO_STRONG
0x1B: PHASE_FILTER_FAULT",,uint8_t
0x281,Rear_Inverter_Motor_Status,Rear Inverter,RPM,0,16,1,0,,,RPM,100,int16_t
,Rear_Inverter_Motor_Status,Rear Inverter,Motor_Current,16,16,0.1,0,,,A,100,int16_t
,Rear_Inverter_Motor_Status,Rear Inverter,DC_Voltage,32,16,0.1,0,,,V,100,int16_t
,Rear_Inverter_Motor_Status,Rear Inverter,DC_Current,48,16,0.1,0,,,A,100,int16_t
0x282,Rear_Inverter_Temp_Status,Rear Inverter,IGBT_Temp,0,16,0.1,0,,,deg C,1000,int16_t
,Rear_Inverter_Temp_Status,Rear Inverter,Motor_Temp,16,16,0.1,0,,,deg C,1000,int16_t
0x283,Rear_Inverter_Current_Draw,Rear Inverter,Ah_Drawn,0,16,0.0001,0,,,Ah,100,uint32_t
,Rear_Inverter_Current_Draw,Rear Inverter,Ah_Charged,32,32,0.0001,0,,,Ah,100,uint32_t
0x284,Rear_Inverter_Power_Draw,Rear Inverter,Wh_Drawn,0,32,0.001,0,,,Wh,100,uint32_t
,Rear_Inverter_Power_Draw,Rear Inverter,Wh_Charged,32,32,0.001,0,,,Wh,100,uint32_t
0x280,Rear_Inverter_Fault_Status,Rear Inverter,Fault_Code,0,8,1,0,,,"0x00: NONE
0x01: OVER_VOLTAGE
0x02: UNDER_VOLTAGE
0x03: DRV_FAULT
0x04: ABS_OVER_CURRENT
0x05: OVER_TEMP_FET
0x06: OVER_TEMP_MOTOR
0x07: GATE_DRIVER_OVER_VOLTAGE
0x08: GATE_DRIVER_UNDER_VOLTAGE
0x09: MCU_UNDER_VOLTAGE
0x0A: BOOTING_FROM_WATCHDOG_RESET
0x0B: ENCODER_SPI_FAULT
0x0C: ENCODER_SINCOS_BELOW_MIN_AMPLITUDE
0x0D: ENCODER_SINCOS_ABOVE_MAX_AMPLITUDE
0x0E: FLASH_CORRUPTION
0x0F: HIGH_OFFSET_CURRENT_SENSOR_1
0x10: HIGH_OFFSET_CURRENT_SENSOR_2
0x11: HIGH_OFFSET_CURRENT_SENSOR_3
0x12: UNBALANCED_CURRENTS
0x13: BRK_FAULT
0x14: RESOLVER_LOT
0x15: RESOLVER_DOS
0x16: RESOLVER_LOS
0x17: FLASH_CORRUPTION_APP_CFG
0x18: FLASH_CORRUPTION_MC_CFG
0x19: ENCODER_NO_MAGNET
0x1A: ENCODER_MAGNET_TOO_STRONG
0x1B: PHASE_FILTER_FAULT",,uint8_t
0x20D,ECU_Set_Current_Front_Left_Inverter,ECU,Set_Current_Front_Left_Inverter,0,32,0.001,0,0,50,A,10,int32_t
0x20E,ECU_Set_Current_Brake_Front_Left_Inverter,ECU,Set_Current_Brake_Front_Left_Inverter,0,32,0.001,0,0,50,A,10,int32_t
0x20F,ECU_Set_Current_Front_Right_Inverter,ECU,Set_Current_Front_Right_Inverter,0,32,0.001,0,0,50,A,10,int32_t
0x210,ECU_Set_Current_Brake_Front_Right_Inverter,ECU,Set_Current_Brake_Front_Right_Inverter,0,32,0.001,0,0,50,A,10,int32_t
0x200,ECU_Set_Current_Rear_Inverter,ECU,Set_Current_Rear_Inverter,0,32,0.001,0,0,360,A,10,int32_t
0x201,ECU_Set_Current_Brake_Rear_Inverter,ECU,Set_Current_Brake_Rear_Inverter,0,32,0.001,0,0,360,A,10,int32_t
0x202,ECU_Throttle,ECU,APPS1_Throttle,0,16,1,0,0,2047,,10,int16_t
,ECU_Throttle,ECU,APPS2_Throttle,16,16,1,0,0,2047,,10,int16_t
0x203,ECU_Brake,ECU,Front_Brake_Pressure,0,16,1,0,0,32767,,10,int16_t
,ECU_Brake,ECU,Rear_Brake_Pressure,16,16,1,0,0,32767,,10,int16_t
,ECU_Brake,ECU,Brake_Pressed,32,8,1,0,0,1,,10,bool
0x204,ECU_Implausibility,ECU,Implausibility_Present,0,8,1,0,0,1,,100,bool
,ECU_Implausibility,ECU,APPSs_Disagreement_Imp,8,8,1,0,0,1,,100,bool
,ECU_Implausibility,ECU,BPPC_Imp,16,8,1,0,0,1,,100,bool
,ECU_Implausibility,ECU,Brake_Invalid_Imp,24,8,1,0,0,1,,100,bool
,ECU_Implausibility,ECU,APPSs_Invalid_Imp,32,8,1,0,0,1,,100,bool
0x205,ECU_BMS_Command_Message,ECU,BMS_Command,0,8,1,0,0,4,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",100,uint8_t
0x206,ECU_Drive_Status,ECU,Drive_State,0,8,1,0,0,4,"0: IDLE
1: PRECHARGE
2: NEUTRAL
3: DRIVE
4: FAULT",100,uint8_t
0x208,ECU_Active_Aero_Command,ECU,Active_Aero_State,0,1,1,0,0,1,"0: Closed
1: Open",100,bool
,ECU_Active_Aero_Command,ECU,Active_Aero_Position,1,16,1,0,0,360,degrees,100,int16_t
0x209,ECU_Pump_Fan_Command,ECU,Front_Pump_Duty_Cycle,0,8,1,0,0,255,,100,uint8_t
,ECU_Pump_Fan_Command,ECU,Rear_Pump_Duty_Cycle,8,8,1,0,0,255,,100,uint8_t
,ECU_Pump_Fan_Command,ECU,Front_Fan_Duty_Cycle,16,8,1,0,0,255,,100,uint8_t
,ECU_Pump_Fan_Command,ECU,Rear_Fan_Duty_Cycle,24,8,1,0,0,255,,100,uint8_t
0x20A,ECU_LUT_Response,ECU,Accel_LUT_Id_Response,0,8,1,0,,,,100,uint8_t
0x20B,ECU_Temp_Limiting_Status,ECU,IGBT_Temp_Limiting,0,1,1,0,0,1,,100,bool
,ECU_Temp_Limiting_Status,ECU,Battery_Temp_Limiting,1,1,1,0,0,1,,100,bool
,ECU_Temp_Limiting_Status,ECU,Motor_Temp_Limiting,2,1,1,0,0,1,,100,bool
0x20C,ECU_Torque_Status,ECU,Torque_Status,0,8,1,0,0,2,"0: ZERO
1: ACCEL
2: REGEN",100,uint8_t
0x211,ECU_BSPD_Status,ECU,high_current,0,1,1,0,0,1,"0: Absent
1: Present",,uint8_t
,ECU_BSPD_Status,ECU,hard_brake,1,1,1,0,0,1,"0: Absent
1: Present",,uint8_t
,ECU_BSPD_Status,ECU,brake_error,2,1,1,0,0,1,"0: Absent
1: Present",,uint8_t
,ECU_BSPD_Status,ECU,current_error,3,1,1,0,0,1,"0: Absent
1: Present",,uint8_t
,ECU_BSPD_Status,ECU,bspd_shutdown_b,4,1,1,0,0,1,"0: Absent
1: Present",,uint8_t
,ECU_BSPD_Status,ECU,bspd_error_b,5,1,1,0,0,1,"0: Absent
1: Present",,uint8_t
,ECU_BSPD_Status,ECU,bspd_sens_error_b,6,1,1,0,0,1,"0: Absent
1: Present",,uint8_t
0x150,BMS_Packboard,BMS,Battery_Current,0,32,0.0001,-100,-75,300,A,20,unsigned_float
,BMS_Packboard,BMS,Packboard_Voltage,32,32,0.0001,0,0,500,V,20,unsigned_float
0x151,BMS_Daughterboard,BMS,Battery_Voltage,0,16,0.01,0,0,500,V,20,unsigned_float
,BMS_Daughterboard,BMS,Max_Cell_Voltage,16,16,0.00015,-3.4152,-3.4152,6.41505,V,20,unsigned_float
,BMS_Daughterboard,BMS,Min_Cell_Voltage,32,16,0.00015,-3.4152,-3.4152,6.41505,V,20,unsigned_float
,BMS_Daughterboard,BMS,Battery_Temperature,48,16,0.01,-20,-20,70,C,20,unsigned_float
0x152,BMS_Status,BMS,SOC,0,16,0.00002,0,0,1,fraction,20,unsigned_float
,BMS_Status,BMS,BMS_State,16,8,1,0,,,"State that the BMS is in:
Idle = 0,
Precharge = 1,
Active = 2,
Charge = 3,
Fault = 4",20,uint8_t
,BMS_Status,BMS,IMD_State,24,1,1,0,,,State of the IMD. High is Healthy ,20,bool
,BMS_Status,BMS,InternalFault_Summary,25,1,1,0,,,,20,bool
,BMS_Status,BMS,Undervoltage_Fault,26,1,1,0,,,,20,bool
,BMS_Status,BMS,Overvoltage_Fault,27,1,1,0,,,,20,bool
,BMS_Status,BMS,Undertemperature_Fault,28,1,1,0,,,,20,bool
,BMS_Status,BMS,Overtemperature_Fault,29,1,1,0,,,,20,bool
,BMS_Status,BMS,Open_Wire_Fault,30,1,1,0,,,,20,bool
,BMS_Status,BMS,Open_Wire_Temp_Fault,31,1,1,0,,,,20,bool
,BMS_Status,BMS,Pec_Fault,32,1,1,0,,,,20,bool
,BMS_Status,BMS,Shutdown_Open,33,1,1,0,,,,20,bool
,BMS_Status,BMS,VCU_Timeout,34,1,1,0,,,,20,bool
,BMS_Status,BMS,Inverter_Timeout,35,1,1,0,,,,20,bool
,BMS_Status,BMS,Charger_Timeout,36,1,1,0,,,,20,bool
,BMS_Status,BMS,2950_PEC_Warning,37,1,1,0,,,,20,bool
,BMS_Status,BMS,Total_PEC_Failures,38,16,1,0,,,,20,uint16_t
0x153,BMS_Voltages_0,BMS,Cell_V_1,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_0,BMS,Cell_V_2,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_0,BMS,Cell_V_3,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_0,BMS,Cell_V_4,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x154,BMS_Voltages_1,BMS,Cell_V_5,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_1,BMS,Cell_V_6,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_1,BMS,Cell_V_7,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_1,BMS,Cell_V_8,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x155,BMS_Voltages_2,BMS,Cell_V_9,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_2,BMS,Cell_V_10,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_2,BMS,Cell_V_11,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_2,BMS,Cell_V_12,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x156,BMS_Voltages_3,BMS,Cell_V_13,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_3,BMS,Cell_V_14,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_3,BMS,Cell_V_15,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_3,BMS,Cell_V_16,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x157,BMS_Voltages_4,BMS,Cell_V_17,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_4,BMS,Cell_V_18,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_4,BMS,Cell_V_19,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_4,BMS,Cell_V_20,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x158,BMS_Voltages_5,BMS,Cell_V_21,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_5,BMS,Cell_V_22,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_5,BMS,Cell_V_23,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_5,BMS,Cell_V_24,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x159,BMS_Voltages_6,BMS,Cell_V_25,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_6,BMS,Cell_V_26,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_6,BMS,Cell_V_27,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_6,BMS,Cell_V_28,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x15A,BMS_Voltages_7,BMS,Cell_V_29,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_7,BMS,Cell_V_30,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_7,BMS,Cell_V_31,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_7,BMS,Cell_V_32,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x15B,BMS_Voltages_8,BMS,Cell_V_33,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_8,BMS,Cell_V_34,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_8,BMS,Cell_V_35,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_8,BMS,Cell_V_36,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x15C,BMS_Voltages_9,BMS,Cell_V_37,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_9,BMS,Cell_V_38,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_9,BMS,Cell_V_39,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_9,BMS,Cell_V_40,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x15D,BMS_Voltages_10,BMS,Cell_V_41,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_10,BMS,Cell_V_42,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_10,BMS,Cell_V_43,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_10,BMS,Cell_V_44,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x15E,BMS_Voltages_11,BMS,Cell_V_45,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_11,BMS,Cell_V_46,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_11,BMS,Cell_V_47,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_11,BMS,Cell_V_48,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x15F,BMS_Voltages_12,BMS,Cell_V_49,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_12,BMS,Cell_V_50,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_12,BMS,Cell_V_51,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_12,BMS,Cell_V_52,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x160,BMS_Voltages_13,BMS,Cell_V_53,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_13,BMS,Cell_V_54,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_13,BMS,Cell_V_55,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_13,BMS,Cell_V_56,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x161,BMS_Voltages_14,BMS,Cell_V_57,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_14,BMS,Cell_V_58,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_14,BMS,Cell_V_59,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_14,BMS,Cell_V_60,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x162,BMS_Voltages_15,BMS,Cell_V_61,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_15,BMS,Cell_V_62,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_15,BMS,Cell_V_63,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_15,BMS,Cell_V_64,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x163,BMS_Voltages_16,BMS,Cell_V_65,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_16,BMS,Cell_V_66,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_16,BMS,Cell_V_67,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_16,BMS,Cell_V_68,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x164,BMS_Voltages_17,BMS,Cell_V_69,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_17,BMS,Cell_V_70,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_17,BMS,Cell_V_71,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_17,BMS,Cell_V_72,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x165,BMS_Voltages_18,BMS,Cell_V_73,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_18,BMS,Cell_V_74,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_18,BMS,Cell_V_75,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_18,BMS,Cell_V_76,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x166,BMS_Voltages_19,BMS,Cell_V_77,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_19,BMS,Cell_V_78,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_19,BMS,Cell_V_79,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_19,BMS,Cell_V_80,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x167,BMS_Voltages_20,BMS,Cell_V_81,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_20,BMS,Cell_V_82,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_20,BMS,Cell_V_83,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_20,BMS,Cell_V_84,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x168,BMS_Voltages_21,BMS,Cell_V_85,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_21,BMS,Cell_V_86,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_21,BMS,Cell_V_87,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_21,BMS,Cell_V_88,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x169,BMS_Voltages_22,BMS,Cell_V_89,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_22,BMS,Cell_V_90,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_22,BMS,Cell_V_91,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_22,BMS,Cell_V_92,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x16A,BMS_Voltages_23,BMS,Cell_V_93,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_23,BMS,Cell_V_94,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_23,BMS,Cell_V_95,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_23,BMS,Cell_V_96,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x16B,BMS_Voltages_24,BMS,Cell_V_97,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_24,BMS,Cell_V_98,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_24,BMS,Cell_V_99,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_24,BMS,Cell_V_100,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
0x16C,BMS_Voltages_25,BMS,Cell_V_101,0,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_25,BMS,Cell_V_102,16,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_25,BMS,Cell_V_103,32,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
,BMS_Voltages_25,BMS,Cell_V_104,48,16,0.00015,-3.4152,-3.4152,6.41505,V,100,unsigned_float
